date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:49	212965/212965	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jun%202025%2016:14:36%20GMT	https://fitrate.com.pl/	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/index.html	(from )
18:52:50	111/111	---M-Z	200	added ('OK')	text/plain	date:Thu,%2019%20Jun%202025%2016:52:49%20GMT	https://fitrate.com.pl/robots.txt		(from )
18:52:50	279/279	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Jun%202025%2016:52:50%20GMT	http://fitrate.com.pl/wp-content/cache/wpfc-minified/8mokwe7e/4omr.css	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/wp-content/cache/wpfc-minified/8mokwe7e/4omr.0.delayed	(from https://fitrate.com.pl/)
18:52:50	41465/41465	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2021:21:17%20GMT	https://fitrate.com.pl/wp-content/cache/wpfc-minified/8mokwe7e/4omr.css	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/wp-content/cache/wpfc-minified/8mokwe7e/4omr.css	(from https://fitrate.com.pl/)
18:52:50	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Jun%202025%2016:52:50%20GMT	http://fitrate.com.pl/wp-content/cache/wpfc-minified/3glsm0/4ona.css	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/wp-content/cache/wpfc-minified/3glsm0/4ona.css	(from https://fitrate.com.pl/)
18:52:51	1076/1076	---M-Z	200	added ('OK')	text/xml	date:Thu,%2019%20Jun%202025%2016:52:51%20GMT	https://fitrate.com.pl/feed/	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/feed/index.html	(from https://fitrate.com.pl/)
18:52:51	418376/418376	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2021:21:26%20GMT	https://fitrate.com.pl/wp-content/cache/wpfc-minified/3glsm0/4ona.css	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/wp-content/cache/wpfc-minified/3glsm0/4ona.css	(from https://fitrate.com.pl/)
18:52:51	280/280	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Jun%202025%2016:52:51%20GMT	http://fitrate.com.pl/wp-content/cache/wpfc-minified/m1iqq4gw/caebh.css	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/wp-content/cache/wpfc-minified/m1iqq4gw/caebh.css	(from https://fitrate.com.pl/)
18:52:51	726/726	---M-Z	200	added ('OK')	text/xml	date:Thu,%2019%20Jun%202025%2016:52:51%20GMT	https://fitrate.com.pl/comments/feed/	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/comments/feed/index.html	(from https://fitrate.com.pl/)
18:52:51	185444/185444	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2019:42:39%20GMT	https://fitrate.com.pl/wp-content/cache/wpfc-minified/m1iqq4gw/caebh.css	C:/Moje%20Portfolio/Portfolio_FitRate2/fitrate.com.pl/wp-content/cache/wpfc-minified/m1iqq4gw/caebh.css	(from https://fitrate.com.pl/)
